"codigo_barrio;nombre_barrio;poblacion_2026"
"0101;Santo Domingo Savio No.1;26566"
"0102;Santo Domingo Savio No.2;10050"
"0103;Popular;28073"
"0104;Granizal;13692"
"0105;Moscú No.2;16789"
"0106;Villa Guadalupe;13108"
"0107;San Pablo;14793"
"0108;El Compromiso;4682"
"0109;Aldea Pablo VI;3423"
"0110;La Esperanza No.2;4030"
"0111;La Avanzada;8135"
"0112;Carpinelo;13756"
"0201;La Isla;14745"
"0202;Playón de Los Comuneros;12511"
"0203;Pablo VI;5835"
"0204;La Frontera;6883"
"0205;La Francia;17678"
"0206;Andalucía;10869"
"0207;Villa del Socorro;15987"
"0208;Villa Niza;7762"
"0209;Moscú No.1;10536"
"0210;Santa Cruz;16342"
"0211;La Rosa;8924"
"0301;La Salle;20304"
"0302;Las Granjas;31444"
"0303;Campo Valdés No.2;20906"
"0304;Santa Inés;19247"
"0305;El Raizal;14654"
"0306;El Pomar;4235"
"0307;Manrique Central No.2;6932"
"0308;Manrique Oriental;15837"
"0309;Versalles No.1;20506"
"0310;Versalles No.2;5607"
"0311;La Cruz;10592"
"0312;Oriente;4891"
"0313;María Cano-Carambolas;7766"
"0314;San José La Cima No.1;3467"
"0315;San José La Cima No.2;2189"
"0401;Berlín;12260"
"0402;San Isidro;18349"
"0403;Palermo;6046"
"0404;Bermejal-Los Álamos;8977"
"0405;Moravia;27911"
"0407;Sevilla;1855"
"0408;San Pedro;4718"
"0409;Manrique Central No.1;8993"
"0410;Campo Valdés No.1;14348"
"0411;Las Esmeraldas;7870"
"0412;La Piñuela;8956"
"0413;Aranjuez;9302"
"0414;Brasilia;11780"
"0415;Miranda;6219"
"0501;Toscana;7396"
"0502;Las Brisas;8403"
"0503;Florencia;11610"
"0504;Tejelo;12096"
"0505;Boyacá;5911"
"0507;Héctor Abad Gómez;4045"
"0508;Belalcázar;6209"
"0509;Girardot;11371"
"0510;Tricentenario;6820"
"0511;Castilla;24889"
"0513;Francisco Antonio Zea;10970"
"0514;Alfonso López;13390"
"0517;Caribe;584"
"0519;El Progreso;4187"
"0601;Santander;16073"
"0602;Doce de Octubre No.1;17432"
"0603;Doce de Octubre No.2;16485"
"0604;Pedregal;23486"
"0605;La Esperanza;23388"
"0606;San Martín de Porres;17572"
"0607;Kennedy;30540"
"0608;Picacho;20904"
"0609;Picachito;5018"
"0610;Mirador del Doce;5205"
"0611;Progreso No.2;6155"
"0612;El Triunfo;4757"
"0702;B. Cerro El Volador;1031"
"0703;San Germán;9991"
"0706;La Pilarica;7666"
"0707;Bosques de San Pablo;2701"
"0708;Altamira;6668"
"0709;Córdoba;11120"
"0710;López de  Mesa;5632"
"0711;El Diamante;19847"
"0712;Aures No.2;28395"
"0713;Aures No.1;26526"
"0714;Bello Horizonte;9029"
"0715;Villa Flora;7234"
"0716;Palenque;8798"
"0717;Robledo;6419"
"0718;Cucaracho;15664"
"0719;Fuente Clara;2946"
"0720;Santa Margarita;11858"
"0722;Olaya Herrera;8964"
"0723;Pajarito;6683"
"0724;Monteclaro;14908"
"0725;Nueva Villa de La Iguaná;2761"
"0801;Villa Hermosa;13204"
"0802;La Mansión;10421"
"0803;San Miguel;11853"
"0804;La Ladera;2903"
"0805;Batallón Girardot;486"
"0806;Llanaditas;11483"
"0807;Los Mangos;21866"
"0808;Enciso;15188"
"0809;Sucre;7138"
"0810;El Pinal;20212"
"0811;Trece de Noviembre;10342"
"0812;La Libertad;12097"
"0813;Villatina;15782"
"0814;San Antonio;5149"
"0815;Las Estancias;11273"
"0816;Villa Turbay;4637"
"0817;La Sierra;3014"
"0819;Villa Lilliam;6030"
"0901;Juan Pablo II;3012"
"0902;Barrios de Jesús;14176"
"0903;Bomboná No.2;21903"
"0904;Los Cerros El Vergel;10505"
"0905;Alejandro Echavarría;9334"
"0906;Barrio Caicedo;6757"
"0907;Buenos Aires;9831"
"0908;Miraflores;9596"
"0909;Cataluña;12823"
"0910;La Milagrosa;7644"
"0911;Gerona;11390"
"0912;El Salvador;17386"
"0913;Loreto;34263"
"0914;Asomadera No.1;14404"
"0915;Asomadera No.2;1344"
"0916;Asomadera No.3;184"
"0917;Ocho de Marzo;2280"
"1001;Prado;9713"
"1003;Jesús Nazareno;2311"
"1004;El Chagualo;6297"
"1005;Estación Villa;698"
"1006;San Benito;721"
"1007;Guayaquil;807"
"1008;Corazón de Jesús;2592"
"1011;Calle Nueva;313"
"1012;Perpetuo Socorro;83"
"1013;Barrio Colón;3316"
"1014;Las Palmas;8675"
"1015;Bomboná No.1;7093"
"1016;Boston;14701"
"1017;Los Ángeles;6344"
"1018;Villa Nueva;4570"
"1019;La Candelaria;3712"
"1020;San Diego;8893"
"1101;Carlos E. Restrepo;4253"
"1102;Suramericana;3939"
"1103;Naranjal;1984"
"1104;San Joaquín;6228"
"1105;Los Conquistadores;9501"
"1107;Bolivariana;3816"
"1108;Laureles;13860"
"1109;Las Acacias;5589"
"1110;La Castellana;11308"
"1111;Lorena;7605"
"1112;El Velódromo;5127"
"1113;Estadio;4618"
"1114;Los Colores;12392"
"1115;Cuarta Brigada;4619"
"1117;Florida Nueva;5244"
"1201;Ferrini;4459"
"1202;Calasanz;4392"
"1203;Los Pinos;3304"
"1204;La América;8903"
"1205;La Floresta;9794"
"1206;Santa Lucía;7109"
"1207;El Danubio;5548"
"1208;Campo Alegre;5622"
"1209;Santa Mónica;7551"
"1210;Barrio Cristóbal;6507"
"1211;Simón Bolívar;5089"
"1212;Santa Teresita;7390"
"1213;Calasanz Parte Alta;10876"
"1301;El Pesebre;10127"
"1302;Blanquizal;5396"
"1303;Santa Rosa de Lima;3720"
"1304;Los Alcázares;9402"
"1305;Metropolitano;3855"
"1306;La Pradera;16118"
"1307;Juan XXIII La Quiebra;9643"
"1308;San Javier No.2;4761"
"1309;San Javier No.1;5816"
"1310;Veinte de Julio;13951"
"1311;Belencito;5513"
"1312;Betania;7380"
"1313;El Corazón;4866"
"1314;Las Independencias;17192"
"1315;Nuevos Conquistadores;11508"
"1316;El Salado;18105"
"1317;Eduardo Santos;5092"
"1318;Antonio Nariño;17724"
"1319;El Socorro;9089"
"1401;Barrio Colombia;204"
"1403;Villa Carlota;4841"
"1404;Castropol;10238"
"1405;Lalinde;2738"
"1406;Las Lomas No.1;3292"
"1407;Las Lomas No.2;2671"
"1408;Altos del Poblado;3924"
"1409;El Tesoro;10495"
"1410;Los Naranjos;7017"
"1411;Los Balsos No.1;10429"
"1412;San Lucas;9141"
"1413;El Diamante No.2;7343"
"1414;El Castillo;2112"
"1415;Los Balsos No.2;6684"
"1416;Alejandría;5369"
"1417;La Florida;9201"
"1418;El Poblado;425"
"1419;Manila;863"
"1420;Astorga;685"
"1421;Patio Bonito;6373"
"1422;La Aguacatala;2389"
"1423;Santa María de Los Ángeles;7789"
"1502;Tenche;21"
"1503;Trinidad;11453"
"1504;Santa Fé;9031"
"1507;Campo Amor;7695"
"1509;Cristo Rey;13899"
"1510;Guayabal;2320"
"1511;La Colina;17969"
"1601;Fátima;9398"
"1602;Rosales;7996"
"1603;Belén;10230"
"1604;Granada;4269"
"1605;San Bernardo;23015"
"1606;Las Playas;11302"
"1607;Diego Echavarría;5813"
"1608;La Mota;10809"
"1609;La Hondonada;15954"
"1610;El Rincón;24765"
"1611;La Loma de Los Bernal;18315"
"1612;La Gloria;13986"
"1613;Altavista;16589"
"1614;La Palma;6644"
"1615;Los Alpes;7045"
"1616;Las Violetas;14389"
"1617;Las Mercedes;10319"
"1618;Nueva Villa del Aburrá;3266"
"1619;Miravalle;4433"
"1620;El Nogal-Los Almendros;4199"
"1621;Cerro Nutibara;848"
"Inst_1;Plaza de Ferias;7"
"Inst_10;Jardín Botínico;10"
"Inst_11;Universidad de Antioquia;77"
"Inst_13;Batallón Cuarta Brigada;1373"
"Inst_16;La Alpujarra;10"
"Inst_17;Centro Administrativo;43"
"Inst_18;Cerro Nutibara;36"
"Inst_19;Parque Juan Pablo II;1659"
"Inst_2;Oleoducto;343"
"Inst_20;El Rodeo;5"
"Inst_3;Cementerio Universal;25"
"Inst_4;Terminal de Transporte;5"
"Inst_5;Facultad de Minas;714"
"Inst_6;Facultad Veterinaria y Zootecnia U.de.A.;2"
"Inst_7;Ecoparque Cerro El Volador;2674"
"Inst_8;Universidad Nacional;73"
"Inst_9;Parque Norte;9"
"SN01;Sin Nombre;1365"
"SN01;Sin Nombre;2381"
"SN01;Sin Nombre;6554"
"SN02;Sin Nombre;848"
